Suburb,Address,Rooms,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,Price_Bin,Landsize_Bin,Distance_Bin,Type,Regionname,Cluster
Abbotsford,48 Abbotsford St,4.666666666666667,7146889.006908517,PI,Nelson,22/08/2016,5.606878679117077,3067.0,3.0,6.808237176294271,0.0,132416.8343004689,174.0,2012.0,Yarra City Council,-37.794279829274465,144.9897972530971,4019.0,Mahal,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,159 Park St,2.833333333333333,6191110.286166237,S,Nelson,22/08/2016,5.606878679117077,3067.0,2.0,3.9825634441478384,7.965126888295677,80507.17924039118,128.0,1920.0,Yarra City Council,-37.79209296661521,144.98044964426606,4019.0,Sedang,Kecil,Dekat,t,Northern Metropolitan,0
Abbotsford,60 Stafford St,4.666666666666667,6694178.3747925535,S,Biggin,25/02/2017,5.606878679117077,3067.0,3.0,0.0,0.0,133598.72406206565,124.0,1950.0,Yarra City Council,-37.792457443725084,144.981594249429,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,45 Yarra St,4.666666666666667,6393554.642549609,SP,Jellis,27/11/2016,5.606878679117077,3067.0,3.0,3.9825634441478384,0.0,100429.2777450493,128.0,1998.0,Yarra City Council,-37.79519102204916,144.98083117932035,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
Abbotsford,27 Charles St,2.833333333333333,5809617.311102815,S,Biggin,30/07/2016,5.606878679117077,3067.0,2.0,0.0,0.0,135921.11224197203,81.0,1930.0,Yarra City Council,-37.80685428956523,144.97930503910305,4019.0,Sedang,Sedang,Dekat,t,Northern Metropolitan,0
Airport West,154 Halsey Rd,4.666666666666667,5008257.758271866,PI,Nelson,3/09/2016,32.41763132467925,3042.0,3.0,3.9825634441478384,0.0,191887.46162147427,225.0,2016.0,Moonee Valley City Council,-37.64174615879087,144.7568701024292,3464.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Airport West,23 Hart St,2.833333333333333,3705548.2980548237,S,Nelson,4/03/2017,32.41763132467925,3042.0,2.0,0.0,0.0,181209.57288658473,84.0,1950.0,Moonee Valley City Council,-37.662521354053865,144.7759468551457,3464.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Airport West,1/80 Hawker St,4.666666666666667,4291747.930139376,S,Brad,4/03/2017,32.41763132467925,3042.0,3.0,3.9825634441478384,7.965126888295677,168419.35876198323,134.0,2009.0,Moonee Valley City Council,-37.64867122387854,144.7677438514776,3464.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Airport West,1/37 Hillside Gr,4.666666666666667,3685947.6468793056,S,Maddison,4/03/2017,32.41763132467925,3042.0,2.0,0.0,0.0,187548.59170372467,116.0,1980.0,Moonee Valley City Council,-37.65869434440015,144.75000247145135,3464.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Airport West,2/49 McIntosh St,2.833333333333333,2969438.1930245846,VB,Barry,4/03/2017,32.41763132467925,3042.0,2.0,0.0,0.0,133598.72406206565,86.0,2011.0,Moonee Valley City Council,-37.64812450821372,144.77289457471107,3464.0,Murah,Sedang,Jauh,u,Western Metropolitan,2
Airport West,11 Harrington Rd,10.166666666666668,4429654.130085313,SP,Barry,7/05/2016,32.41763132467925,3042.0,6.0,6.808237176294271,7.965126888295677,307789.9463423341,186.0,1980.0,Moonee Valley City Council,-37.65249823353225,144.74828556370687,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Airport West,2/252 Parer Rd,2.833333333333333,2555379.725915269,S,Barry,7/05/2016,32.41763132467925,3042.0,2.0,0.0,0.0,91865.56059680326,90.0,2015.0,Moonee Valley City Council,-37.64830674676866,144.74351637552775,3464.0,Murah,Sedang,Jauh,t,Western Metropolitan,2
Airport West,3/19 Hart St,2.833333333333333,3085601.956684608,S,Barry,7/11/2016,32.41763132467925,3042.0,2.0,0.0,0.0,116317.3133605798,73.0,2013.0,Moonee Valley City Council,-37.66325030827361,144.77651915772717,3464.0,Murah,Sedang,Jauh,u,Western Metropolitan,2
Airport West,2/62 Clydesdale Rd,2.833333333333333,3198430.416913309,S,Nelson,10/09/2016,32.41763132467925,3042.0,2.0,0.0,0.0,100429.2777450493,94.0,2012.0,Moonee Valley City Council,-37.65158704075754,144.7591593127552,3464.0,Murah,Sedang,Jauh,u,Western Metropolitan,2
Airport West,1/43 Cameron St,4.666666666666667,4573350.487002294,S,Nelson,11/02/2017,32.41763132467925,3042.0,3.0,0.0,0.0,178630.78978305098,130.0,1993.0,Moonee Valley City Council,-37.663979262493385,144.77117766696657,3464.0,Sedang,Sedang,Jauh,u,Western Metropolitan,2
Airport West,2/40 Earl St,4.666666666666667,4291747.930139376,PI,Brad,15/10/2016,32.41763132467925,3042.0,3.0,3.9825634441478384,7.965126888295677,131820.5708417047,133.0,2009.0,Moonee Valley City Council,-37.658147628735335,144.77403917987405,3464.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Airport West,180 Parer Rd,4.666666666666667,4961192.234761806,S,Barry,16/04/2016,32.41763132467925,3042.0,3.0,0.0,7.965126888295677,307280.568275385,113.0,1960.0,Moonee Valley City Council,-37.6428395901205,144.75305475188594,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Airport West,174 Parer Rd,2.833333333333333,4148825.8804861815,S,Barry,16/07/2016,32.41763132467925,3042.0,2.0,0.0,0.0,261514.5162300842,100.0,1975.0,Moonee Valley City Council,-37.64302182867544,144.75400858952176,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Airport West,6 Kittyhawk St,6.5,4681591.295880095,S,Brad,17/09/2016,32.41763132467925,3042.0,5.0,6.808237176294271,18.0,247444.7557562031,309.0,1980.0,Moonee Valley City Council,-37.65687195885078,144.73760258218562,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Airport West,478 Fullarton Rd,4.666666666666667,4865335.673963295,PI,Barry,18/03/2017,32.41763132467925,3042.0,3.0,6.808237176294271,7.965126888295677,251825.35905191684,192.0,1980.0,Moonee Valley City Council,-37.66088120705941,144.7404640950931,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Airport West,144 Marshall Rd,4.666666666666667,4375070.981960042,S,Rendina,18/03/2017,32.41763132467925,3042.0,3.0,3.9825634441478384,7.965126888295677,224683.25778323264,126.0,1995.0,Moonee Valley City Council,-37.63883034191185,144.7591593127552,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Airport West,3/7 South Rd,4.666666666666667,3271889.0342176273,SP,Nelson,18/06/2016,32.41763132467925,3042.0,2.0,3.9825634441478384,0.0,129399.04670888519,101.0,2010.0,Moonee Valley City Council,-37.65104032509274,144.76106698802684,3464.0,Murah,Sedang,Jauh,t,Western Metropolitan,2
Airport West,37 North St,4.666666666666667,4937446.396966456,SP,Barry,19/11/2016,32.41763132467925,3042.0,3.0,3.9825634441478384,0.0,188566.83209090822,102.0,1960.0,Moonee Valley City Council,-37.64539092988964,144.75610703232059,3464.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Airport West,10 Hilbert Rd,4.666666666666667,4206619.909827346,S,Barry,22/05/2016,32.41763132467925,3042.0,3.0,0.0,0.0,256020.81011925964,113.0,1975.0,Moonee Valley City Council,-37.65012913231804,144.7479040286525,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Airport West,85 Roberts Rd,6.5,5279394.5292124795,S,Harcourts,27/11/2016,32.41763132467925,3042.0,4.0,3.9825634441478384,13.616474352588542,264072.53387778,146.0,1975.0,Moonee Valley City Council,-37.6555962889662,144.74904863381548,3464.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Albert Park,104 Richardson St,6.5,8966724.884716822,S,Marshall,7/05/2016,9.489743534792785,3206.0,4.0,3.9825634441478384,0.0,124371.26010788097,180.0,1880.0,Port Phillip City Council,-37.872642407898084,144.89861037511247,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,1 Moubray St,4.666666666666667,8003411.515798095,VB,Greg,7/11/2016,9.489743534792785,3206.0,3.0,3.9825634441478384,0.0,109816.82380989887,159.0,1996.0,Port Phillip City Council,-37.86681077414004,144.89803807253097,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,29 Faussett St,2.833333333333333,8646463.195454963,S,Greg,10/09/2016,9.489743534792785,3206.0,2.0,0.0,0.0,150318.9181091683,107.0,1900.0,Port Phillip City Council,-37.868086444024605,144.90452416845457,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,24 Kerferd Pl,4.666666666666667,8003411.515798095,S,Marshall,10/09/2016,9.489743534792785,3206.0,3.0,3.9825634441478384,0.0,72142.01729323702,122.0,1900.0,Port Phillip City Council,-37.86790420546968,144.90776721641637,3280.0,Mahal,Kecil,Dekat,t,Southern Metropolitan,1
Albert Park,2 Dundas Pl,4.666666666666667,9471150.609079305,S,Cayzer,10/12/2016,9.489743534792785,3206.0,3.0,3.9825634441478384,0.0,138749.7243052196,181.0,1880.0,Port Phillip City Council,-37.86681077414004,144.91043796179665,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,86 Mills St,4.666666666666667,8417470.63789384,VB,RT,16/04/2016,9.489743534792785,3206.0,3.0,3.9825634441478384,0.0,156103.71356588046,147.0,1900.0,Port Phillip City Council,-37.87683389466166,144.90853028652504,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,55 Withers St,6.5,9739782.059260288,VB,Cayzer,18/06/2016,9.489743534792785,3206.0,4.0,6.808237176294271,0.0,199431.1576269803,254.0,1910.0,Port Phillip City Council,-37.87628717899684,144.88945353380853,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,55 Merton St,4.666666666666667,8609212.422855116,SP,Marshall,23/04/2016,9.489743534792785,3206.0,2.0,0.0,0.0,100429.2777450493,123.0,1900.0,Port Phillip City Council,-37.8689976367993,144.90299802823725,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,49 Page St,4.666666666666667,8417470.63789384,PI,Marshall,24/09/2016,9.489743534792785,3206.0,3.0,0.0,0.0,168004.83804513645,131.0,1890.0,Port Phillip City Council,-37.87519374766722,144.8995642127483,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,27 Barrett St,6.5,8683364.190542229,S,Greg,27/06/2016,9.489743534792785,3206.0,3.0,3.9825634441478384,0.0,142040.99480335126,145.0,1880.0,Port Phillip City Council,-37.87027330668388,144.89326888435187,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Albert Park,17 Reed St,4.666666666666667,7870180.901782885,PI,Marshall,28/08/2016,9.489743534792785,3206.0,3.0,3.9825634441478384,7.965126888295677,120425.93694975969,134.0,1890.0,Port Phillip City Council,-37.87282464645301,144.88525664821094,3280.0,Mahal,Sedang,Dekat,t,Southern Metropolitan,1
Alphington,6 Smith St,6.5,8417470.63789384,S,Brace,3/09/2016,19.729482704277544,3078.0,3.0,3.9825634441478384,18.0,294431.60775928263,263.0,1930.0,Darebin City Council,-37.7377858772435,145.05027055920826,2211.0,Mahal,Besar,Sedang,t,Northern Metropolitan,0
Alphington,44 Shiers St,6.5,7819031.459463053,S,Collins,8/10/2016,19.729482704277544,3078.0,4.0,3.9825634441478384,0.0,259386.47370251603,203.0,1925.0,Darebin City Council,-37.7396082627929,145.04874441899094,2211.0,Mahal,Besar,Sedang,t,Northern Metropolitan,0
Alphington,83 Fulham Rd,8.333333333333332,9795526.647159044,S,Nelson,12/06/2016,19.729482704277544,3078.0,5.0,9.0,18.0,289180.12762257,165.0,1910.0,Darebin City Council,-37.74562213510586,145.04073218285004,2211.0,Mahal,Besar,Sedang,t,Northern Metropolitan,0
Alphington,3/19 Harker St,2.833333333333333,3164920.6984790787,S,Miles,12/11/2016,19.729482704277544,3078.0,2.0,0.0,0.0,69935.75833206747,60.0,1960.0,Darebin City Council,-37.75309391585836,145.04798134888225,2211.0,Murah,Kecil,Sedang,u,Northern Metropolitan,0
Alphington,4/2 Miller St,2.833333333333333,4841001.700978035,S,Miles,12/11/2016,19.729482704277544,3078.0,2.0,3.9825634441478384,13.616474352588542,125652.27875185588,140.0,2004.0,Darebin City Council,-37.75546301707256,145.04836288393662,2211.0,Sedang,Sedang,Sedang,t,Northern Metropolitan,0
Alphington,10 Bennett St,6.5,8068370.462229234,S,Nelson,19/11/2016,19.729482704277544,3078.0,4.0,3.9825634441478384,7.965126888295677,260538.00769360518,112.0,1970.0,Darebin City Council,-37.74434646522129,145.04988902415394,2211.0,Mahal,Besar,Sedang,t,Northern Metropolitan,0
Alphington,38 Bennett St,6.5,8609212.422855116,S,Nelson,19/11/2016,19.729482704277544,3078.0,4.0,3.9825634441478384,7.965126888295677,255333.76538795035,271.0,2008.0,Darebin City Council,-37.74070169412252,145.05046132673542,2211.0,Mahal,Besar,Sedang,t,Northern Metropolitan,0
Alphington,2c Hamilton St,4.666666666666667,5123513.066581687,SP,hockingstuart,22/05/2016,19.729482704277544,3078.0,3.0,0.0,0.0,140408.99803997081,131.0,2010.0,Darebin City Council,-37.755098539962674,145.0359629946709,2211.0,Sedang,Sedang,Sedang,t,Northern Metropolitan,0
Alphington,11 Margaret Gr,6.5,8215891.738878022,SP,McGrath,27/11/2016,19.729482704277544,3078.0,4.0,3.9825634441478384,7.965126888295677,252003.75544754567,272.0,1930.0,Darebin City Council,-37.7627525592701,145.03252917918195,2211.0,Mahal,Besar,Sedang,t,Northern Metropolitan,0
Alphington,42 Shiers St,6.5,8317973.501788528,S,Jellis,30/07/2016,19.729482704277544,3078.0,4.0,3.9825634441478384,13.616474352588542,257717.90388016464,210.0,1920.0,Darebin City Council,-37.739972739902775,145.04855365146378,2211.0,Mahal,Besar,Sedang,t,Northern Metropolitan,0
Altona,158 Queen St,4.666666666666667,3123572.506692252,VB,Greg,3/09/2016,32.8039056805855,3018.0,3.0,3.9825634441478384,0.0,206723.53659756875,242.0,2015.0,Hobsons Bay City Council,-37.91874876229753,144.65576331303203,5301.0,Murah,Sedang,Jauh,t,Western Metropolitan,2
Altona,59 Bracken Gr,8.333333333333332,7351860.127900766,S,Greg,3/12/2016,32.8039056805855,3018.0,5.0,6.808237176294271,13.616474352588542,278856.28182373,268.0,2005.0,Hobsons Bay City Council,-37.92257577195125,144.62810202159318,5301.0,Mahal,Besar,Jauh,t,Western Metropolitan,2
Altona,1/123 Blyth St,2.833333333333333,4402457.319062676,S,hockingstuart,4/02/2016,32.8039056805855,3018.0,2.0,0.0,7.965126888295677,188228.5777008099,125.0,2013.0,Hobsons Bay City Council,-37.916379661083326,144.64565263409236,5301.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Altona,4 Blyth St,4.666666666666667,6138826.692905031,S,Barlow,4/03/2017,32.8039056805855,3018.0,3.0,0.0,7.965126888295677,242666.27965541335,120.0,1930.0,Hobsons Bay City Council,-37.917473092412976,144.67960925392762,5301.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona,1/170 Blyth St,4.666666666666667,3877689.2135116667,S,Barlow,6/08/2016,32.8039056805855,3018.0,2.0,0.0,7.965126888295677,194466.244725008,94.0,1955.0,Hobsons Bay City Council,-37.91911323940741,144.63535118762545,5301.0,Sedang,Sedang,Jauh,u,Western Metropolitan,2
Altona,156 Maidstone St,4.666666666666667,4060509.286057016,VB,Greg,7/05/2016,32.8039056805855,3018.0,3.0,0.0,0.0,259881.62469130466,123.0,1955.0,Hobsons Bay City Council,-37.9034407236827,144.630200464392,5301.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona,1/136 Queen St,2.833333333333333,3552717.1834357525,S,Barlow,8/10/2016,32.8039056805855,3018.0,2.0,0.0,0.0,162452.387385941,93.0,1988.0,Hobsons Bay City Council,-37.91801980807778,144.65957866357533,5301.0,Sedang,Sedang,Jauh,u,Western Metropolitan,2
Altona,173 Queen St,4.666666666666667,6828931.894555504,S,hockingstuart,8/10/2016,32.8039056805855,3018.0,3.0,0.0,18.0,285178.47488508915,22.0,1953.0,Hobsons Bay City Council,-37.91820204663272,144.65557254550492,5301.0,Mahal,Besar,Jauh,t,Western Metropolitan,2
Altona,3/26 Grieve Pde,2.833333333333333,3047260.957161189,S,Village,10/09/2016,32.8039056805855,3018.0,2.0,0.0,0.0,106012.62017440695,76.0,1990.0,Hobsons Bay City Council,-37.9161974225284,144.64279112118484,5301.0,Murah,Sedang,Jauh,u,Western Metropolitan,2
Altona,4/5 Rose St,2.833333333333333,2330751.734477844,S,hockingstuart,10/09/2016,32.8039056805855,3018.0,2.0,0.0,7.965126888295677,96239.72920557484,57.0,1980.0,Hobsons Bay City Council,-37.92057114784693,144.64336342376635,5301.0,Murah,Sedang,Jauh,u,Western Metropolitan,2
Altona,24 Wren St,6.5,5031580.81950462,S,hockingstuart,11/02/2017,32.8039056805855,3018.0,4.0,0.0,7.965126888295677,281008.72532209393,130.0,1950.0,Hobsons Bay City Council,-37.911094742990116,144.6376403979514,5301.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona,4/57 Blyth St,4.666666666666667,4456664.020224831,SP,Barlow,13/08/2016,32.8039056805855,3018.0,3.0,3.9825634441478384,0.0,46095.13133021234,141.0,2014.0,Hobsons Bay City Council,-37.91510399119877,144.66263094400998,5301.0,Sedang,Kecil,Jauh,u,Western Metropolitan,2
Altona,3/46 Sargood St,2.833333333333333,2529092.5363626187,S,Burnham,15/10/2016,32.8039056805855,3018.0,2.0,0.0,0.0,113480.61845039482,77.0,1990.0,Hobsons Bay City Council,-37.9105480273253,144.66511092186312,5301.0,Murah,Sedang,Jauh,u,Western Metropolitan,2
Altona,22 Fenfield St,4.666666666666667,4166253.50611289,S,hockingstuart,16/04/2016,32.8039056805855,3018.0,3.0,0.0,7.965126888295677,260538.00769360518,87.0,1950.0,Hobsons Bay City Council,-37.90198281524318,144.63172660460933,5301.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona,5/8 David St,2.833333333333333,3552717.1834357525,PI,Biggin,16/07/2016,32.8039056805855,3018.0,2.0,3.9825634441478384,0.0,137627.93194630413,76.0,2013.0,Hobsons Bay City Council,-37.916379661083326,144.659197128521,5301.0,Sedang,Sedang,Jauh,u,Western Metropolitan,2
Altona,27 McIntyre Dr,4.666666666666667,5008257.758271866,SP,Greg,18/03/2017,32.8039056805855,3018.0,3.0,3.9825634441478384,7.965126888295677,248003.01908736388,136.0,1965.0,Hobsons Bay City Council,-37.900524906803675,144.65480947539623,5301.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona,3/20 Mulga St,4.666666666666667,3532337.2475934546,S,Williams,23/04/2016,32.8039056805855,3018.0,3.0,3.9825634441478384,0.0,153253.44409254406,113.0,2007.0,Hobsons Bay City Council,-37.91583294541852,144.63668656031558,5301.0,Sedang,Sedang,Jauh,u,Western Metropolitan,2
Altona,104 Maidstone St,2.833333333333333,5086997.827028563,SP,hockingstuart,27/11/2016,32.8039056805855,3018.0,2.0,3.9825634441478384,0.0,271226.6560083699,100.0,1950.0,Hobsons Bay City Council,-37.910183550215415,144.63268044224517,5301.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona,5/57 Blyth St,4.666666666666667,4456664.020224831,SP,Barlow,28/05/2016,32.8039056805855,3018.0,3.0,3.9825634441478384,0.0,47503.34738742769,3.0,2014.0,Hobsons Bay City Council,-37.91510399119877,144.6624401764828,5301.0,Sedang,Kecil,Jauh,u,Western Metropolitan,2
Altona,2/60 David St,2.833333333333333,3239736.2791571654,SP,Compton,30/07/2016,32.8039056805855,3018.0,2.0,0.0,0.0,125013.83560330527,91.0,1996.0,Hobsons Bay City Council,-37.90890788033086,144.65996019862968,5301.0,Murah,Sedang,Jauh,t,Western Metropolitan,2
Altona North,4 Knapp St,4.666666666666667,4722054.190162782,S,Jas,3/09/2016,29.004607429741043,3025.0,3.0,0.0,7.965126888295677,247817.2798985674,117.0,1970.0,Hobsons Bay City Council,-37.84421319332764,144.6748400657485,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,3/66 Marion St,2.833333333333333,2293589.0967275454,S,hockingstuart,4/03/2017,29.004607429741043,3025.0,2.0,0.0,0.0,56838.31277870381,77.0,2009.0,Hobsons Bay City Council,-37.85514750662396,144.70898745311095,5132.0,Murah,Kecil,Jauh,t,Western Metropolitan,2
Altona North,33 Carthy St,4.666666666666667,4195128.898125255,S,FN,4/06/2016,29.004607429741043,3025.0,3.0,0.0,7.965126888295677,248003.01908736388,167.0,1967.0,Hobsons Bay City Council,-37.842937523443084,144.67579390338432,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,1/95 Mills St,4.666666666666667,3606552.576241728,S,Williams,7/05/2016,29.004607429741043,3025.0,3.0,0.0,0.0,199733.3726775703,118.0,1970.0,Hobsons Bay City Council,-37.86043242471718,144.71394740881723,5132.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Altona North,5 Binns St,4.666666666666667,4347492.458733477,PI,Village,7/11/2016,29.004607429741043,3025.0,3.0,0.0,13.616474352588542,249110.21533035304,116.0,1960.0,Hobsons Bay City Council,-37.84475990899247,144.68018155650907,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,25 Allan St,6.5,5168685.109099345,SP,Jas,8/10/2016,29.004607429741043,3025.0,3.0,0.0,18.0,252537.0292496686,169.0,1965.0,Hobsons Bay City Council,-37.87282464645301,144.70898745311095,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,2/36 May St,4.666666666666667,4148825.8804861815,S,hockingstuart,14/05/2016,29.004607429741043,3025.0,3.0,3.9825634441478384,7.965126888295677,135345.5885000312,109.0,2012.0,Hobsons Bay City Council,-37.85259616685482,144.71375664129008,5132.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Altona North,11 Beevers St,4.666666666666667,4336406.630776557,S,Greg,15/10/2016,29.004607429741043,3025.0,3.0,0.0,7.965126888295677,257042.54367396192,97.0,1960.0,Hobsons Bay City Council,-37.83819932101468,144.70784284794797,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,252 Millers Rd,6.5,4252250.881043755,SP,Raine&Horne,22/05/2016,29.004607429741043,3025.0,4.0,3.9825634441478384,18.0,195730.94421591697,170.0,2008.0,Hobsons Bay City Council,-37.86243704882151,144.69715986642677,5132.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Altona North,1/156 Chambers Rd,4.666666666666667,3814809.109494159,SP,Hunter,22/08/2016,29.004607429741043,3025.0,5.0,3.9825634441478384,7.965126888295677,182653.6356917806,100.0,2010.0,Hobsons Bay City Council,-37.83892827523443,144.6925814457748,5132.0,Sedang,Sedang,Jauh,t,Western Metropolitan,2
Altona North,2 Gadsden St,4.666666666666667,4448580.527024446,S,Jas,22/08/2016,29.004607429741043,3025.0,3.0,0.0,0.0,247444.7557562031,157.0,1960.0,Hobsons Bay City Council,-37.841661853558506,144.68151692919926,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,24 Hansen St,4.666666666666667,5412479.517497728,S,hockingstuart,22/08/2016,29.004607429741043,3025.0,3.0,3.9825634441478384,0.0,257886.02850536324,160.0,1950.0,Hobsons Bay City Council,-37.86079690182706,144.7318795563707,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,6 Hill St,4.666666666666667,4889519.89865872,S,hockingstuart,25/02/2017,29.004607429741043,3025.0,3.0,3.9825634441478384,13.616474352588542,251825.35905191684,130.0,1960.0,Hobsons Bay City Council,-37.849133634311,144.68208923178074,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,5 Cresser St,6.5,6409963.541820264,SP,RT,27/11/2016,29.004607429741043,3025.0,4.0,0.0,18.0,264858.58364891907,158.0,1960.0,Hobsons Bay City Council,-37.85952123194249,144.7112766634369,5132.0,Sedang,Besar,Jauh,t,Western Metropolitan,2
Altona North,4/221 Blackshaws Rd,2.833333333333333,855714.6237289165,S,Jas,28/08/2016,29.004607429741043,3025.0,2.0,0.0,0.0,124371.26010788097,70.0,1970.0,Hobsons Bay City Council,-37.851684974080136,144.7318795563707,5132.0,Murah,Sedang,Jauh,u,Western Metropolitan,2
